Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 54.66    453.78   453.78     4454     0.10     0.10  SDL_SW_CopyYUVToRGB
 31.32    713.82   260.04     4851     0.05     0.05  GLES_RenderCopy
 13.68    827.37   113.55     4455     0.03     0.03  SDL_ANDROID_CallJavaSwapBuffers
  0.06    827.83     0.46     4455     0.00     0.06  SDL_RenderCopy
  0.05    828.22     0.39                             SDL_UnlockYUVOverlay
  0.04    828.58     0.36     4454     0.00     0.00  GLES_LockTexture
  0.03    828.82     0.24      397     0.00     0.00  SDL_SoftBlit
  0.03    829.03     0.21      398     0.00     0.00  SDL_CreateRGBSurface
  0.02    829.23     0.20                             SDL_LockYUVOverlay
  0.02    829.41     0.18      400     0.00     0.00  SDL_CreateTexture
  0.02    829.56     0.15     4454     0.00     0.00  SDL_LockTexture
  0.02    829.71     0.15      397     0.00     0.00  SDL_MapSurface
  0.01    829.80     0.09     4454     0.00     0.00  SDL_UnlockTexture
  0.01    829.88     0.08      396     0.00     0.00  SDL_ConvertSurface
  0.01    829.95     0.07     4455     0.00     0.03  GLES_RenderPresent
  0.01    830.02     0.07                             SDL_CreateTextureFromSurface
  0.01    830.08     0.06        6     0.01     0.01  SDL_GetError
  0.00    830.12     0.04        2     0.02     0.03  SDL_DestroyTexture
  0.00    830.14     0.02      396     0.00     0.00  SDL_FreeSurface
  0.00    830.16     0.02        1     0.02     0.02  SDL_GetRendererInfo
  0.00    830.17     0.01     4455     0.00     0.03  ANDROID_GL_SwapBuffers
  0.00    830.18     0.01     1188     0.00     0.00  SDL_SetSurfaceBlendMode
  0.00    830.19     0.01      792     0.00     0.00  SDL_FreeBlitMap
  0.00    830.20     0.01      792     0.00     0.00  SDL_SetColorKey
  0.00    830.21     0.01      398     0.00     0.00  GLES_DestroyTexture
  0.00    830.22     0.01      396     0.00     0.00  GLES_UpdateTexture
  0.00    830.23     0.01        1     0.01   113.64  SDL_RenderPresent
  0.00    830.24     0.01                             SDL_DisplayYUVOverlayRenderCopy
  0.00    830.24     0.00    10103     0.00     0.00  SDL_GetCurrentRenderer
